ko_id	kegg_pathway_id	kegg_pathway_name
ko:K00114	path:map00010	Glycolysis / Gluconeogenesis
ko:K00121	path:map00010	Glycolysis / Gluconeogenesis
ko:K00128	path:map00010	Glycolysis / Gluconeogenesis
ko:K00129	path:map00010	Glycolysis / Gluconeogenesis
ko:K00016	path:map00010	Glycolysis / Gluconeogenesis
ko:K13979	path:map00010	Glycolysis / Gluconeogenesis
ko:K13980	path:map00010	Glycolysis / Gluconeogenesis
ko:K14028	path:map00010	Glycolysis / Gluconeogenesis
ko:K14029	path:map00010	Glycolysis / Gluconeogenesis
ko:K00131	path:map00010	Glycolysis / Gluconeogenesis
ko:K01086	path:map00010	Glycolysis / Gluconeogenesis
ko:K01222	path:map00010	Glycolysis / Gluconeogenesis
ko:K01223	path:map00010	Glycolysis / Gluconeogenesis
ko:K00002	path:map00010	Glycolysis / Gluconeogenesis
ko:K00001	path:map00010	Glycolysis / Gluconeogenesis
ko:K01596	path:map00010	Glycolysis / Gluconeogenesis
ko:K01610	path:map00010	Glycolysis / Gluconeogenesis
ko:K01622	path:map00010	Glycolysis / Gluconeogenesis
ko:K14085	path:map00010	Glycolysis / Gluconeogenesis
ko:K15633	path:map00010	Glycolysis / Gluconeogenesis
ko:K00134	path:map00010	Glycolysis / Gluconeogenesis
ko:K01785	path:map00010	Glycolysis / Gluconeogenesis
ko:K01792	path:map00010	Glycolysis / Gluconeogenesis
ko:K00138	path:map00010	Glycolysis / Gluconeogenesis
ko:K00149	path:map00010	Glycolysis / Gluconeogenesis
ko:K00150	path:map00010	Glycolysis / Gluconeogenesis
ko:K00161	path:map00010	Glycolysis / Gluconeogenesis
ko:K00162	path:map00010	Glycolysis / Gluconeogenesis
ko:K00163	path:map00010	Glycolysis / Gluconeogenesis
ko:K00169	path:map00010	Glycolysis / Gluconeogenesis
ko:K00170	path:map00010	Glycolysis / Gluconeogenesis
ko:K01623	path:map00010	Glycolysis / Gluconeogenesis
ko:K01624	path:map00010	Glycolysis / Gluconeogenesis
ko:K01689	path:map00010	Glycolysis / Gluconeogenesis
ko:K00175	path:map00010	Glycolysis / Gluconeogenesis
ko:K00189	path:map00010	Glycolysis / Gluconeogenesis
ko:K00382	path:map00010	Glycolysis / Gluconeogenesis
ko:K00627	path:map00010	Glycolysis / Gluconeogenesis
ko:K00844	path:map00010	Glycolysis / Gluconeogenesis
ko:K00845	path:map00010	Glycolysis / Gluconeogenesis
ko:K00850	path:map00010	Glycolysis / Gluconeogenesis
ko:K00873	path:map00010	Glycolysis / Gluconeogenesis
